,max (document wise),mean (document wise),min (document wise)
odenet-863-a,0.0008818342,0.0007857447,0.0006896552
odenet-1544-a,0.0006896552,0.0006896552,0.0006896552
odenet-4455-a,0.0020689655,0.0014753998,0.0008818342
odenet-15160-a,0.0008818342,0.0007857447,0.0006896552
odenet-33497-n,0.0006896552,0.0006896552,0.0006896552
odenet-858-v,0.0013793104,0.0013793104,0.0013793104
odenet-6981-v,0.0013793104,0.0013793104,0.0013793104
odenet-26157-v,0.0013793104,0.0013793104,0.0013793104
odenet-4373-v,0.0006896552,0.0006896552,0.0006896552
odenet-6456-v,0.0006896552,0.0006896552,0.0006896552
odenet-22932-v,0.0006896552,0.0006896552,0.0006896552
odenet-22933-v,0.0006896552,0.0006896552,0.0006896552
odenet-362238-n,0.0006896552,0.0006896552,0.0006896552
odenet-1825-v,0.0006896552,0.0006896552,0.0006896552
odenet-34008-v,0.0006896552,0.0006896552,0.0006896552
odenet-34385-v,0.0006896552,0.0006896552,0.0006896552
odenet-30521-v,0.0006896552,0.0006896552,0.0006896552
odenet-1898-a,0.0006896552,0.0006896552,0.0006896552
odenet-7983-a,0.0013793104,0.0011305723,0.0008818342
odenet-25102-a,0.0013793104,0.0013793104,0.0013793104
odenet-150-n,0.0006896552,0.0006896552,0.0006896552
odenet-713-n,0.0006896552,0.0006896552,0.0006896552
odenet-1129-n,0.0006896552,0.0006896552,0.0006896552
odenet-4202-n,0.0008818342,0.0007857447,0.0006896552
odenet-10572-n,0.0006896552,0.0006896552,0.0006896552
odenet-10961-n,0.0006896552,0.0006896552,0.0006896552
odenet-11054-n,0.0008818342,0.0007857447,0.0006896552
odenet-4860-v,0.0006896552,0.0006896552,0.0006896552
odenet-6632-v,0.0006896552,0.0006896552,0.0006896552
odenet-9915-v,0.0006896552,0.0006896552,0.0006896552
odenet-28055-v,0.0006896552,0.0006896552,0.0006896552
odenet-4502-n,0.0020689655,0.0020689655,0.0020689655
odenet-4634-n,0.0027586208,0.0027586208,0.0027586208
odenet-6630-n,0.0020689655,0.0020689655,0.0020689655
odenet-7111-n,0.0020689655,0.0020689655,0.0020689655
odenet-7337-n,0.0020689655,0.0020689655,0.0020689655
odenet-12534-n,0.0020689655,0.0020689655,0.0020689655
odenet-13847-n,0.0020689655,0.0020689655,0.0020689655
odenet-17637-n,0.0020689655,0.0020689655,0.0020689655
odenet-533-v,0.0027586208,0.0027586208,0.0027586208
odenet-3065-v,0.0027586208,0.0027586208,0.0027586208
odenet-4206-v,0.0027586208,0.0027586208,0.0027586208
odenet-5328-v,0.0027586208,0.0027586208,0.0027586208
odenet-9990-v,0.0027586208,0.0027586208,0.0027586208
odenet-10538-v,0.0027586208,0.0027586208,0.0027586208
odenet-20571-a,0.0006896552,0.0006896552,0.0006896552
odenet-21356-a,0.0008818342,0.0007857447,0.0006896552
odenet-2775-a,0.0006896552,0.0006896552,0.0006896552
odenet-9352-a,0.0006896552,0.0006896552,0.0006896552
odenet-10003-a,0.0006896552,0.0006896552,0.0006896552
odenet-25178-a,0.0006896552,0.0006896552,0.0006896552
odenet-23246-n,0.0006896552,0.0006896552,0.0006896552
odenet-2315-n,0.0006896552,0.0006896552,0.0006896552
odenet-4875-a,0.0013793104,0.0013793104,0.0013793104
odenet-8814-a,0.0013793104,0.0013793104,0.0013793104
odenet-4224-v,0.0006896552,0.0006896552,0.0006896552
odenet-10540-v,0.0006896552,0.0006896552,0.0006896552
odenet-26947-v,0.0006896552,0.0006896552,0.0006896552
odenet-3211-n,0.0006896552,0.0006896552,0.0006896552
odenet-6942-n,0.0006896552,0.0006896552,0.0006896552
odenet-7243-n,0.0006896552,0.0006896552,0.0006896552
odenet-13225-n,0.0006896552,0.0006896552,0.0006896552
odenet-3685-a,0.0008818342,0.0007857447,0.0006896552
odenet-4575-a,0.0008818342,0.0007857447,0.0006896552
odenet-4796-a,0.0008818342,0.0007857447,0.0006896552
odenet-12672-a,0.0008818342,0.0007857447,0.0006896552
odenet-13327-a,0.0008818342,0.0007857447,0.0006896552
odenet-27740-a,0.0008818342,0.0007857447,0.0006896552
odenet-30586-a,0.0008818342,0.0007857447,0.0006896552
odenet-2162-n,0.0006896552,0.0006896552,0.0006896552
odenet-6691-n,0.0006896552,0.0006896552,0.0006896552
odenet-8986-n,0.0008818342,0.0007857447,0.0006896552
odenet-6692-a,0.0013793104,0.0011305723,0.0008818342
odenet-15921-a,0.0013793104,0.0011305723,0.0008818342
odenet-27244-a,0.0013793104,0.0011305723,0.0008818342
odenet-27247-a,0.0013793104,0.0011305723,0.0008818342
odenet-16527-a,0.0013793104,0.0013793104,0.0013793104
odenet-10862-a,0.0006896552,0.0006896552,0.0006896552
odenet-1080-n,0.0020689655,0.0019163169,0.0017636684
odenet-1419-n,0.0034482758,0.002605972,0.0017636684
odenet-1870-n,0.0020689655,0.0019163169,0.0017636684
odenet-3423-n,0.0020689655,0.0019163169,0.0017636684
odenet-4856-n,0.0020689655,0.0019163169,0.0017636684
odenet-6222-n,0.0034482758,0.002605972,0.0017636684
odenet-9057-n,0.0020689655,0.0019163169,0.0017636684
odenet-11589-n,0.0020689655,0.0019163169,0.0017636684
odenet-15617-n,0.0020689655,0.0019163169,0.0017636684
odenet-17734-n,0.0034482758,0.002605972,0.0017636684
odenet-23322-n,0.0020689655,0.0019163169,0.0017636684
odenet-638-n,0.0062068966,0.0035443655,0.0008818342
odenet-8304-n,0.0068965517,0.0038891928,0.0008818342
odenet-29268-n,0.0062068966,0.0035443655,0.0008818342
odenet-5500-n,0.0013793104,0.0013793104,0.0013793104
odenet-3466-n,0.0013793104,0.0013793104,0.0013793104
odenet-2150-a,0.0013793104,0.0013793104,0.0013793104
odenet-392-v,0.0013793104,0.0013793104,0.0013793104
odenet-4442-v,0.0013793104,0.0013793104,0.0013793104
odenet-9542-v,0.0013793104,0.0013793104,0.0013793104
odenet-11807-v,0.0013793104,0.0013793104,0.0013793104
odenet-27298-v,0.0013793104,0.0013793104,0.0013793104
odenet-32523-v,0.0013793104,0.0013793104,0.0013793104
odenet-34415-v,0.0013793104,0.0013793104,0.0013793104
odenet-362241-n,0.0006896552,0.0006896552,0.0006896552
odenet-2039-a,0.0006896552,0.0006896552,0.0006896552
odenet-3496-a,0.0013793104,0.0013793104,0.0013793104
odenet-23817-a,0.0006896552,0.0006896552,0.0006896552
odenet-25089-a,0.0013793104,0.0013793104,0.0013793104
odenet-3439-n,0.0020689655,0.0020689655,0.0020689655
odenet-3977-n,0.0020689655,0.0020689655,0.0020689655
odenet-9136-n,0.0020689655,0.0020689655,0.0020689655
odenet-11752-n,0.0020689655,0.0014753998,0.0008818342
odenet-13555-n,0.0020689655,0.0014753998,0.0008818342
odenet-10205-a,0.0006896552,0.0006896552,0.0006896552
odenet-2267-n,0.0006896552,0.0006896552,0.0006896552
odenet-24402-v,0.0006896552,0.0006896552,0.0006896552
odenet-8224-n,0.0013793104,0.0013793104,0.0013793104
odenet-29920-n,0.0013793104,0.0013793104,0.0013793104
odenet-11045-a,0.0006896552,0.0006896552,0.0006896552
odenet-7041-a,0.0013793104,0.0013793104,0.0013793104
odenet-13642-a,0.0006896552,0.0006896552,0.0006896552
odenet-569-v,0.0006896552,0.0006896552,0.0006896552
odenet-1298-v,0.0006896552,0.0006896552,0.0006896552
odenet-3129-v,0.0006896552,0.0006896552,0.0006896552
odenet-4320-v,0.0006896552,0.0006896552,0.0006896552
odenet-8708-v,0.0006896552,0.0006896552,0.0006896552
odenet-9449-v,0.0006896552,0.0006896552,0.0006896552
odenet-11915-v,0.0006896552,0.0006896552,0.0006896552
odenet-13846-v,0.0006896552,0.0006896552,0.0006896552
odenet-20883-v,0.0006896552,0.0006896552,0.0006896552
odenet-21314-v,0.0006896552,0.0006896552,0.0006896552
odenet-31747-v,0.0006896552,0.0006896552,0.0006896552
odenet-35628-v,0.0006896552,0.0006896552,0.0006896552
odenet-337-v,0.0027586208,0.0027586208,0.0027586208
odenet-8528-v,0.004827586,0.004827586,0.004827586
odenet-7704-v,0.0013793104,0.0013793104,0.0013793104
odenet-10838-v,0.0013793104,0.0013793104,0.0013793104
odenet-11903-v,0.0013793104,0.0013793104,0.0013793104
odenet-12960-v,0.0013793104,0.0013793104,0.0013793104
odenet-16004-v,0.0013793104,0.0013793104,0.0013793104
odenet-16657-v,0.0013793104,0.0013793104,0.0013793104
odenet-16863-v,0.0013793104,0.0013793104,0.0013793104
odenet-17441-v,0.0013793104,0.0013793104,0.0013793104
odenet-5844-a,0.0017636684,0.0015714894,0.0013793104
odenet-1464-a,0.0027586208,0.0027586208,0.0027586208
odenet-15586-a,0.0013793104,0.0013793104,0.0013793104
odenet-2755-a,0.0013793104,0.0013793104,0.0013793104
odenet-4586-a,0.0013793104,0.0013793104,0.0013793104
odenet-6220-a,0.0013793104,0.0013793104,0.0013793104
odenet-8178-a,0.0013793104,0.0011305723,0.0008818342
odenet-136-a,0.0013793104,0.0013793104,0.0013793104
odenet-19491-a,0.0013793104,0.0013793104,0.0013793104
odenet-22667-a,0.0013793104,0.0013793104,0.0013793104
odenet-7037-n,0.0006896552,0.0006896552,0.0006896552
odenet-726-a,0.0020689655,0.0020689655,0.0020689655
odenet-15907-a,0.0013793104,0.0013793104,0.0013793104
odenet-25660-a,0.0013793104,0.0013793104,0.0013793104
odenet-1208-v,0.0006896552,0.0006896552,0.0006896552
odenet-4630-v,0.0006896552,0.0006896552,0.0006896552
odenet-12880-v,0.0006896552,0.0006896552,0.0006896552
odenet-34900-n,0.0006896552,0.0006896552,0.0006896552
odenet-3713-a,0.0020689655,0.0020689655,0.0020689655
odenet-8293-a,0.0006896552,0.0006896552,0.0006896552
odenet-329-a,0.0013793104,0.0011305723,0.0008818342
odenet-33604-a,0.0013793104,0.0011305723,0.0008818342
odenet-4141-n,0.0006896552,0.0006896552,0.0006896552
odenet-10044-n,0.0006896552,0.0006896552,0.0006896552
odenet-28044-n,0.0006896552,0.0006896552,0.0006896552
odenet-1321-a,0.0008818342,0.0007857447,0.0006896552
odenet-4261-a,0.0008818342,0.0007857447,0.0006896552
odenet-8388-a,0.0006896552,0.0006896552,0.0006896552
odenet-17162-a,0.0006896552,0.0006896552,0.0006896552
odenet-31606-a,0.0008818342,0.0007857447,0.0006896552
odenet-9492-n,0.0013793104,0.0011305723,0.0008818342
odenet-77-n,0.0006896552,0.0006896552,0.0006896552
odenet-845-a,0.0026455026,0.0016675789,0.0006896552
odenet-1137-n,0.0013793104,0.0013793104,0.0013793104
odenet-9151-v,0.0013793104,0.0013793104,0.0013793104
odenet-15196-n,0.0020689655,0.0020689655,0.0020689655
odenet-16243-a,0.0013793104,0.0013793104,0.0013793104
odenet-3163-a,0.0006896552,0.0006896552,0.0006896552
odenet-6253-a,0.0006896552,0.0006896552,0.0006896552
odenet-20340-a,0.0006896552,0.0006896552,0.0006896552
odenet-2692-a,0.0006896552,0.0006896552,0.0006896552
odenet-5458-a,0.0006896552,0.0006896552,0.0006896552
odenet-8328-a,0.0013793104,0.0011305723,0.0008818342
odenet-9476-a,0.0006896552,0.0006896552,0.0006896552
odenet-137-v,0.0013793104,0.0013793104,0.0013793104
odenet-1364-v,0.0013793104,0.0013793104,0.0013793104
odenet-7930-v,0.0013793104,0.0013793104,0.0013793104
odenet-11902-v,0.0013793104,0.0013793104,0.0013793104
odenet-15299-v,0.0013793104,0.0013793104,0.0013793104
odenet-15700-v,0.0013793104,0.0013793104,0.0013793104
odenet-2421-v,0.0006896552,0.0006896552,0.0006896552
odenet-5404-v,0.0020689655,0.0020689655,0.0020689655
odenet-7794-v,0.0006896552,0.0006896552,0.0006896552
odenet-7850-v,0.0020689655,0.0020689655,0.0020689655
odenet-10314-v,0.0006896552,0.0006896552,0.0006896552
odenet-15180-v,0.0006896552,0.0006896552,0.0006896552
odenet-33194-v,0.0006896552,0.0006896552,0.0006896552
odenet-2469-a,0.0006896552,0.0006896552,0.0006896552
odenet-9112-a,0.0006896552,0.0006896552,0.0006896552
odenet-10994-a,0.0006896552,0.0006896552,0.0006896552
odenet-19785-a,0.0006896552,0.0006896552,0.0006896552
odenet-34338-a,0.0006896552,0.0006896552,0.0006896552
odenet-5070-a,0.0006896552,0.0006896552,0.0006896552
odenet-940-a,0.0008818342,0.0007857447,0.0006896552
odenet-6278-n,0.0006896552,0.0006896552,0.0006896552
odenet-15637-n,0.0006896552,0.0006896552,0.0006896552
odenet-3846-v,0.0006896552,0.0006896552,0.0006896552
odenet-1103-a,0.0006896552,0.0006896552,0.0006896552
odenet-12172-a,0.0020689655,0.0020689655,0.0020689655
odenet-720-v,0.0020689655,0.0020689655,0.0020689655
odenet-9443-n,0.0020689655,0.0020689655,0.0020689655
odenet-11372-a,0.0006896552,0.0006896552,0.0006896552
odenet-6483-v,0.0013793104,0.0013793104,0.0013793104
odenet-443-a,0.0008818342,0.0007857447,0.0006896552
odenet-6471-a,0.0008818342,0.0007857447,0.0006896552
odenet-3706-n,0.0013793104,0.0013793104,0.0013793104
odenet-3853-n,0.0013793104,0.0013793104,0.0013793104
odenet-28109-n,0.0013793104,0.0013793104,0.0013793104
odenet-3169-a,0.0013793104,0.0013793104,0.0013793104
odenet-3621-a,0.0017636684,0.0015714894,0.0013793104
odenet-4085-a,0.0013793104,0.0013793104,0.0013793104
odenet-8336-a,0.0013793104,0.0013793104,0.0013793104
odenet-33523-a,0.0013793104,0.0013793104,0.0013793104
odenet-15063-a,0.0006896552,0.0006896552,0.0006896552
odenet-7157-a,0.0020689655,0.0020689655,0.0020689655
odenet-16313-a,0.0020689655,0.0020689655,0.0020689655
odenet-22653-n,0.0013793104,0.0013793104,0.0013793104
odenet-4640-n,0.0020689655,0.0014753998,0.0008818342
odenet-8591-v,0.0006896552,0.0006896552,0.0006896552
odenet-12755-v,0.0006896552,0.0006896552,0.0006896552
odenet-1598-v,0.0013793104,0.0013793104,0.0013793104
odenet-4896-v,0.0013793104,0.0013793104,0.0013793104
odenet-20120-v,0.0013793104,0.0013793104,0.0013793104
odenet-31902-v,0.0013793104,0.0013793104,0.0013793104
odenet-35213-v,0.0013793104,0.0013793104,0.0013793104
odenet-14751-v,0.0013793104,0.0013793104,0.0013793104
odenet-2995-n,0.0006896552,0.0006896552,0.0006896552
odenet-3040-n,0.0006896552,0.0006896552,0.0006896552
odenet-3303-a,0.0006896552,0.0006896552,0.0006896552
odenet-5283-a,0.0006896552,0.0006896552,0.0006896552
odenet-35908-a,0.0006896552,0.0006896552,0.0006896552
odenet-7528-v,0.0020689655,0.0020689655,0.0020689655
odenet-7753-v,0.0020689655,0.0020689655,0.0020689655
odenet-8192-v,0.0020689655,0.0020689655,0.0020689655
odenet-546-v,0.0008818342,0.0007857447,0.0006896552
odenet-1917-v,0.0008818342,0.0007857447,0.0006896552
odenet-35824-v,0.0008818342,0.0007857447,0.0006896552
odenet-3668-n,0.0006896552,0.0006896552,0.0006896552
odenet-8181-v,0.0006896552,0.0006896552,0.0006896552
odenet-4288-a,0.0006896552,0.0006896552,0.0006896552
odenet-12184-a,0.0006896552,0.0006896552,0.0006896552
odenet-27002-a,0.0006896552,0.0006896552,0.0006896552
odenet-30482-a,0.0006896552,0.0006896552,0.0006896552
odenet-32561-n,0.0006896552,0.0006896552,0.0006896552
odenet-14131-a,0.0006896552,0.0006896552,0.0006896552
odenet-8733-a,0.0006896552,0.0006896552,0.0006896552
odenet-3702-a,0.004137931,0.004137931,0.004137931
odenet-9195-a,0.0034482758,0.0034482758,0.0034482758
odenet-27977-a,0.0034482758,0.0034482758,0.0034482758
odenet-5984-a,0.0006896552,0.0006896552,0.0006896552
odenet-18451-a,0.0006896552,0.0006896552,0.0006896552
odenet-362244-v,0.0008818342,0.0007857447,0.0006896552
odenet-6115-a,0.0006896552,0.0006896552,0.0006896552
odenet-7762-a,0.0008818342,0.0007857447,0.0006896552
odenet-8055-a,0.0006896552,0.0006896552,0.0006896552
odenet-33613-a,0.0006896552,0.0006896552,0.0006896552
odenet-2079-a,0.0008818342,0.0007857447,0.0006896552
odenet-3738-a,0.0008818342,0.0007857447,0.0006896552
odenet-12042-a,0.0008818342,0.0007857447,0.0006896552
odenet-32518-a,0.0008818342,0.0007857447,0.0006896552
odenet-22585-v,0.0013793104,0.0013793104,0.0013793104
odenet-9495-a,0.0006896552,0.0006896552,0.0006896552
odenet-10177-a,0.0013793104,0.0013793104,0.0013793104
odenet-15179-a,0.0013793104,0.0013793104,0.0013793104
odenet-18569-n,0.0006896552,0.0006896552,0.0006896552
odenet-5356-n,0.0006896552,0.0006896552,0.0006896552
odenet-33057-n,0.0006896552,0.0006896552,0.0006896552
odenet-6308-n,0.0006896552,0.0006896552,0.0006896552
odenet-6580-n,0.0006896552,0.0006896552,0.0006896552
odenet-7221-a,0.0006896552,0.0006896552,0.0006896552
odenet-2160-v,0.0006896552,0.0006896552,0.0006896552
odenet-21246-v,0.0006896552,0.0006896552,0.0006896552
odenet-29026-v,0.0006896552,0.0006896552,0.0006896552
odenet-10366-a,0.0027586208,0.0027586208,0.0027586208
odenet-9673-n,0.0013793104,0.0013793104,0.0013793104
odenet-8926-n,0.0006896552,0.0006896552,0.0006896552
odenet-12227-n,0.0006896552,0.0006896552,0.0006896552
odenet-1943-a,0.0006896552,0.0006896552,0.0006896552
odenet-7131-a,0.0006896552,0.0006896552,0.0006896552
odenet-25584-a,0.0006896552,0.0006896552,0.0006896552
odenet-26622-a,0.0006896552,0.0006896552,0.0006896552
odenet-2634-v,0.0006896552,0.0006896552,0.0006896552
odenet-7630-v,0.0013793104,0.0013793104,0.0013793104
odenet-9251-v,0.0006896552,0.0006896552,0.0006896552
odenet-32120-v,0.0006896552,0.0006896552,0.0006896552
odenet-32121-v,0.0013793104,0.0013793104,0.0013793104
odenet-6778-n,0.0006896552,0.0006896552,0.0006896552
odenet-27741-n,0.0006896552,0.0006896552,0.0006896552
odenet-27908-n,0.0026455026,0.0016675789,0.0006896552
odenet-11202-n,0.0006896552,0.0006896552,0.0006896552
odenet-4317-a,0.0017636684,0.0012266617,0.0006896552
odenet-7867-a,0.0017636684,0.0012266617,0.0006896552
odenet-15253-n,0.0017636684,0.0012266617,0.0006896552
odenet-1072-v,0.0006896552,0.0006896552,0.0006896552
odenet-1905-v,0.0006896552,0.0006896552,0.0006896552
odenet-8149-v,0.0006896552,0.0006896552,0.0006896552
odenet-9216-v,0.0006896552,0.0006896552,0.0006896552
odenet-9939-v,0.0006896552,0.0006896552,0.0006896552
odenet-10047-v,0.0006896552,0.0006896552,0.0006896552
odenet-12707-v,0.0006896552,0.0006896552,0.0006896552
odenet-11124-n,0.0035273368,0.002108496,0.0006896552
odenet-6054-a,0.0006896552,0.0006896552,0.0006896552
odenet-7116-a,0.0006896552,0.0006896552,0.0006896552
odenet-8559-a,0.0017636684,0.0012266617,0.0006896552
odenet-15658-a,0.0006896552,0.0006896552,0.0006896552
odenet-25554-a,0.0006896552,0.0006896552,0.0006896552
odenet-11445-a,0.0013793104,0.0013793104,0.0013793104
odenet-6757-n,0.0013793104,0.0013793104,0.0013793104
odenet-8674-v,0.0013793104,0.0013793104,0.0013793104
odenet-14046-v,0.0013793104,0.0013793104,0.0013793104
odenet-1499-v,0.0006896552,0.0006896552,0.0006896552
odenet-7904-v,0.0006896552,0.0006896552,0.0006896552
odenet-26682-v,0.0006896552,0.0006896552,0.0006896552
odenet-10377-n,0.0020689655,0.0020689655,0.0020689655
odenet-3696-a,0.0006896552,0.0006896552,0.0006896552
odenet-15750-a,0.0006896552,0.0006896552,0.0006896552
odenet-20249-a,0.0006896552,0.0006896552,0.0006896552
odenet-34697-a,0.0006896552,0.0006896552,0.0006896552
odenet-2226-a,0.0006896552,0.0006896552,0.0006896552
odenet-4594-n,0.0006896552,0.0006896552,0.0006896552
odenet-5494-n,0.0006896552,0.0006896552,0.0006896552
odenet-10537-n,0.0006896552,0.0006896552,0.0006896552
odenet-20088-n,0.0006896552,0.0006896552,0.0006896552
odenet-11029-a,0.0013793104,0.0013793104,0.0013793104
odenet-20952-a,0.0013793104,0.0013793104,0.0013793104
odenet-892-a,0.004409171,0.0025494131,0.0006896552
odenet-6523-a,0.0006896552,0.0006896552,0.0006896552
odenet-3184-n,0.0006896552,0.0006896552,0.0006896552
odenet-4951-n,0.0006896552,0.0006896552,0.0006896552
odenet-5017-n,0.0006896552,0.0006896552,0.0006896552
odenet-6368-n,0.0006896552,0.0006896552,0.0006896552
odenet-10976-n,0.0006896552,0.0006896552,0.0006896552
odenet-11318-n,0.0006896552,0.0006896552,0.0006896552
odenet-12442-n,0.0006896552,0.0006896552,0.0006896552
odenet-17741-n,0.0006896552,0.0006896552,0.0006896552
odenet-27125-n,0.0006896552,0.0006896552,0.0006896552
odenet-1848-v,0.0006896552,0.0006896552,0.0006896552
odenet-5613-v,0.0006896552,0.0006896552,0.0006896552
odenet-6500-v,0.0006896552,0.0006896552,0.0006896552
odenet-10119-v,0.0006896552,0.0006896552,0.0006896552
odenet-15640-v,0.0006896552,0.0006896552,0.0006896552
odenet-2994-n,0.0006896552,0.0006896552,0.0006896552
odenet-5124-n,0.0006896552,0.0006896552,0.0006896552
odenet-7264-n,0.0006896552,0.0006896552,0.0006896552
odenet-8489-n,0.0006896552,0.0006896552,0.0006896552
odenet-20660-n,0.0006896552,0.0006896552,0.0006896552
odenet-24261-n,0.0006896552,0.0006896552,0.0006896552
odenet-14734-a,0.0006896552,0.0006896552,0.0006896552
odenet-11619-n,0.0006896552,0.0006896552,0.0006896552
odenet-26173-n,0.0006896552,0.0006896552,0.0006896552
odenet-12658-n,0.0006896552,0.0006896552,0.0006896552
odenet-7954-n,0.0006896552,0.0006896552,0.0006896552
odenet-18505-n,0.0006896552,0.0006896552,0.0006896552
odenet-3019-v,0.0006896552,0.0006896552,0.0006896552
odenet-303-v,0.0006896552,0.0006896552,0.0006896552
odenet-3823-v,0.0006896552,0.0006896552,0.0006896552
odenet-7415-v,0.0006896552,0.0006896552,0.0006896552
odenet-9875-v,0.0006896552,0.0006896552,0.0006896552
odenet-30927-v,0.0006896552,0.0006896552,0.0006896552
odenet-19860-n,0.0006896552,0.0006896552,0.0006896552
odenet-8509-a,0.0006896552,0.0006896552,0.0006896552
odenet-36203-n,0.0006896552,0.0006896552,0.0006896552
odenet-4263-v,0.0006896552,0.0006896552,0.0006896552
odenet-6874-v,0.0006896552,0.0006896552,0.0006896552
odenet-2171-a,0.0013793104,0.0013793104,0.0013793104
odenet-3139-a,0.0013793104,0.0013793104,0.0013793104
odenet-9781-a,0.0026455026,0.0020124065,0.0013793104
odenet-28436-a,0.0026455026,0.0020124065,0.0013793104
odenet-30378-a,0.0013793104,0.0013793104,0.0013793104
odenet-34133-a,0.0013793104,0.0013793104,0.0013793104
odenet-2271-v,0.0006896552,0.0006896552,0.0006896552
odenet-9904-n,0.0006896552,0.0006896552,0.0006896552
odenet-12518-n,0.0006896552,0.0006896552,0.0006896552
odenet-1475-v,0.0006896552,0.0006896552,0.0006896552
odenet-5756-v,0.0006896552,0.0006896552,0.0006896552
odenet-319-v,0.0006896552,0.0006896552,0.0006896552
odenet-13080-v,0.0006896552,0.0006896552,0.0006896552
odenet-35963-v,0.0006896552,0.0006896552,0.0006896552
odenet-3043-n,0.0006896552,0.0006896552,0.0006896552
odenet-9561-n,0.0006896552,0.0006896552,0.0006896552
odenet-25951-n,0.0006896552,0.0006896552,0.0006896552
odenet-1679-a,0.0006896552,0.0006896552,0.0006896552
odenet-7256-a,0.0006896552,0.0006896552,0.0006896552
odenet-13176-a,0.0006896552,0.0006896552,0.0006896552
odenet-30544-a,0.0008818342,0.0007857447,0.0006896552
odenet-33195-a,0.0006896552,0.0006896552,0.0006896552
odenet-4236-a,0.0006896552,0.0006896552,0.0006896552
odenet-9327-a,0.0006896552,0.0006896552,0.0006896552
odenet-997-a,0.0020689655,0.0014753998,0.0008818342
odenet-2372-n,0.0006896552,0.0006896552,0.0006896552
odenet-16262-n,0.0006896552,0.0006896552,0.0006896552
odenet-27881-n,0.0006896552,0.0006896552,0.0006896552
odenet-34920-n,0.0006896552,0.0006896552,0.0006896552
odenet-1231-a,0.0006896552,0.0006896552,0.0006896552
odenet-11002-a,0.0006896552,0.0006896552,0.0006896552
